Municipio,Macroregião,Região,IDH,Porte
Abaiara,Cariri,Brejo Santo,Medio,De 10.001 a 20.000 hab.
Acarape,Fortaleza,Maracanaú,Medio,De 10.001 a 20.000 hab.
Acaraú,Sobral,Acaraú,Medio,De 50.001 a 100.000 hab.
Acopiara,Cariri,Iguatú,Baixo,De 50.001 a 100.000 hab.
Aiuaba,Sertão Central,Crateús,Baixo,De 10.001 a 20.000 hab.
Alcântaras,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Altaneira,Cariri,Farias Brito,Medio,De 5.001 a 10.000 hab.
Alto Santo,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 10.001 a 20.000 hab.
Amontada,Fortaleza,Itapipoca,Medio,De 20.001 a 50.000 hab.
Antonina do Norte,Cariri,Farias Brito,Baixo,De 5.001 a 10.000 hab.
Apuiarés,Fortaleza,Caucaia,Medio,De 10.001 a 20.000 hab.
Aquiraz,Fortaleza,Fortaleza,Medio,De 50.001 a 100.000 hab.
Aracati,Litoral Leste/Jaguaribe,Aracati,Medio,De 50.001 a 100.000 hab.
Aracoiaba,Fortaleza,Baturité,Medio,De 20.001 a 50.000 hab.
Ararendá,Sobral,Crateús,Baixo,De 10.001 a 20.000 hab.
Araripe,Cariri,Farias Brito,Baixo,De 20.001 a 50.000 hab.
Aratuba,Fortaleza,Baturité,Medio,De 10.001 a 20.000 hab.
Arneiroz,Sertão Central,Tauá,Medio,De 5.001 a 10.000 hab.
Assaré,Cariri,Farias Brito,Medio,De 20.001 a 50.000 hab.
Aurora,Cariri,Brejo Santo,Medio,De 20.001 a 50.000 hab.
Baixio,Cariri,Icó,Medio,De 5.001 a 10.000 hab.
Banabuiú,Sertão Central,Quixadá,Medio,De 10.001 a 20.000 hab.
Barbalha,Cariri,Juazeiro Norte,Medio,De 50.001 a 100.000 hab.
Barreira,Fortaleza,Maracanaú,Medio,De 20.001 a 50.000 hab.
Barro,Cariri,Brejo Santo,Baixo,De 20.001 a 50.000 hab.
Barroquinha,Sobral,Camocim,Baixo ,De 10.001 a 20.000 hab.
Baturite,Fortaleza,Baturité,Medio,De 20.001 a 50.000 hab.
Beberibe,Fortaleza,Cascavel,Alto,De 50.001 a 100.000 hab.
Bela Cruz,Sobral,Acaraú,Medio,De 20.001 a 50.000 hab.
Boa Viagem,Sertão Central,Canidé,Baixo,De 50.001 a 100.000 hab.
Brejo Santo,Cariri,Brejo Santo,Medio,De 20.001 a 50.000 hab.
Camocim,Sobral,Camocim,Medio,De 50.001 a 100.000 hab.
Campos Sales,Cariri,Farias Brito,Medio,De 20.001 a 50.000 hab.
Canidé,Sertão Central,Canidé,Medio,De 50.001 a 100.000 hab.
Capistrano,Fortaleza,Baturité,Medio,De 10.001 a 20.000 hab.
Caridade,Sertão Central,Canidé,Baixo,De 20.001 a 50.000 hab.
Cariré,Sobral,Sobral,Baixo,De 10.001 a 20.000 hab.
Caririaçu,Cariri,Juazeiro Norte,Baixo,De 20.001 a 50.000 hab.
Cariús,Cariri,Iguatú,Baixo,De 10.001 a 20.000 hab.
Carnaubal,Sobral,Tianguá,Baixo ,De 10.001 a 20.000 hab.
Cascavel,Fortaleza,Cascavel,Medio,De 50.001 a 100.000 hab.
Catarina,Cariri,Iguatú,Medio,De 10.001 a 20.000 hab.
Catunda,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Caucaia,Fortaleza,Caucaia,Medio,De 100.001 a 500.000 hab.
Cedro,Cariri,Icó,Medio,De 20.001 a 50.000 hab.
Chaval,Sobral,Camocim,Baixo,De 10.001 a 20.000 hab.
Choró,Sertão Central,Quixadá,Baixo,De 10.001 a 20.000 hab.
Chorozinho,Fortaleza,Cascavel,Medio,De 10.001 a 20.000 hab.
Coreaú,Sobral,Sobral,Medio,De 20.001 a 50.000 hab.
Crateús,Sobral,Crateús,Medio,De 50.001 a 100.000 hab.
Crato,Cariri,Crato,Alto,De 100.001 a 500.000 hab.
Croatá,Sobral,Tianguá,Baixo,De 10.001 a 20.000 hab.
Cruz,Sobral,Acaraú,Medio,De 20.001 a 50.000 hab.
Deputado Irapuan Pinheiro,Cariri,Iguatú,Medio,De 5.001 a 10.000 hab.
Ereré,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 5.001 a 10.000 hab.
Eusébio,Fortaleza,Fortaleza,Alto,De 20.001 a 50.000 hab.
